,0,1,2,3,4,5,6,7,8
107,179,A1,A1,C2,TZ,reflexivity,0,0,O_1
108,181,A1,A1,C3,A2,reflexivity,0,0,O_1
109,182,A1,A1,C3,A3,reflexivity,0,0,O_1
110,183,A1,A1,C3,A4,reflexivity,0,0,O_1
111,184,A1,A1,C3,TX,reflexivity,0,0,O_1
112,186,A1,A1,C3,B2,reflexivity,0,0,O_1
113,187,A1,A1,C3,B3,reflexivity,0,0,O_1
114,188,A1,A1,C3,B4,reflexivity,0,0,O_1
115,189,A1,A1,C3,TY,reflexivity,0,0,O_1
116,191,A1,A1,C3,C2,reflexivity,0,0,O_1
117,192,A1,A1,C3,C3,reflexivity,0,0,O_1
118,193,A1,A1,C3,C4,reflexivity,0,0,O_1
119,194,A1,A1,C3,TZ,reflexivity,0,0,O_1
120,196,A1,A1,C4,A2,reflexivity,0,0,O_1
121,197,A1,A1,C4,A3,reflexivity,0,0,O_1
122,198,A1,A1,C4,A4,reflexivity,0,0,O_1
123,199,A1,A1,C4,TX,reflexivity,0,0,O_1
124,201,A1,A1,C4,B2,reflexivity,0,0,O_1
125,202,A1,A1,C4,B3,reflexivity,0,0,O_1
126,203,A1,A1,C4,B4,reflexivity,0,0,O_1
127,204,A1,A1,C4,TY,reflexivity,0,0,O_1
128,206,A1,A1,C4,C2,reflexivity,0,0,O_1
129,207,A1,A1,C4,C3,reflexivity,0,0,O_1
130,208,A1,A1,C4,C4,reflexivity,0,0,O_1
131,209,A1,A1,C4,TZ,reflexivity,0,0,O_1
132,211,A1,A1,TZ,A2,reflexivity,0,0,O_1
133,212,A1,A1,TZ,A3,reflexivity,0,0,O_1
134,213,A1,A1,TZ,A4,reflexivity,0,0,O_1
135,214,A1,A1,TZ,TX,reflexivity,0,0,O_1
136,216,A1,A1,TZ,B2,reflexivity,0,0,O_1
137,217,A1,A1,TZ,B3,reflexivity,0,0,O_1
138,218,A1,A1,TZ,B4,reflexivity,0,0,O_1
139,219,A1,A1,TZ,TY,reflexivity,0,0,O_1
140,221,A1,A1,TZ,C2,reflexivity,0,0,O_1
141,222,A1,A1,TZ,C3,reflexivity,0,0,O_1
142,223,A1,A1,TZ,C4,reflexivity,0,0,O_1
143,224,A1,A1,TZ,TZ,reflexivity,0,0,O_1
144,226,A1,A2,A1,A2,0,reflexivity,0,O_2
145,227,A1,A2,A1,A3,0,reflexivity,0,O_2
146,228,A1,A2,A1,A4,0,reflexivity,0,O_2
147,229,A1,A2,A1,TX,0,reflexivity,0,O_2
148,231,A1,A2,A1,B2,0,reflexivity,0,O_2
149,232,A1,A2,A1,B3,0,reflexivity,0,O_2
150,233,A1,A2,A1,B4,0,reflexivity,0,O_2
151,234,A1,A2,A1,TY,0,reflexivity,0,O_2
152,236,A1,A2,A1,C2,0,reflexivity,0,O_2
153,237,A1,A2,A1,C3,0,reflexivity,0,O_2
154,238,A1,A2,A1,C4,0,reflexivity,0,O_2
155,239,A1,A2,A1,TZ,0,reflexivity,0,O_2
156,240,A1,A2,A2,A1,0,0,reflexivity,O_3
157,241,A1,A2,A2,A2,0,0,0,O_0
158,242,A1,A2,A2,A3,0,0,0,O_0
159,243,A1,A2,A2,A4,0,0,0,O_0
160,244,A1,A2,A2,TX,0,0,0,O_0
161,245,A1,A2,A2,B1,0,0,train,O_3
162,246,A1,A2,A2,B2,0,0,0,O_0
163,247,A1,A2,A2,B3,0,0,0,O_0
164,248,A1,A2,A2,B4,0,0,0,O_0
165,249,A1,A2,A2,TY,0,0,0,O_0
166,250,A1,A2,A2,C1,0,0,transitivity,O_3
167,251,A1,A2,A2,C2,0,0,0,O_0
168,252,A1,A2,A2,C3,0,0,0,O_0
169,253,A1,A2,A2,C4,0,0,0,O_0
170,254,A1,A2,A2,TZ,0,0,0,O_0
171,255,A1,A2,A3,A1,0,0,reflexivity,O_3
172,256,A1,A2,A3,A2,0,0,0,O_0
173,257,A1,A2,A3,A3,0,0,0,O_0
174,258,A1,A2,A3,A4,0,0,0,O_0
175,259,A1,A2,A3,TX,0,0,0,O_0
176,260,A1,A2,A3,B1,0,0,train,O_3
177,261,A1,A2,A3,B2,0,0,0,O_0
178,262,A1,A2,A3,B3,0,0,0,O_0
179,263,A1,A2,A3,B4,0,0,0,O_0
180,264,A1,A2,A3,TY,0,0,0,O_0
181,265,A1,A2,A3,C1,0,0,transitivity,O_3
182,266,A1,A2,A3,C2,0,0,0,O_0
183,267,A1,A2,A3,C3,0,0,0,O_0
184,268,A1,A2,A3,C4,0,0,0,O_0
185,269,A1,A2,A3,TZ,0,0,0,O_0
186,270,A1,A2,A4,A1,0,0,reflexivity,O_3
187,271,A1,A2,A4,A2,0,0,0,O_0
188,272,A1,A2,A4,A3,0,0,0,O_0
189,273,A1,A2,A4,A4,0,0,0,O_0
190,274,A1,A2,A4,TX,0,0,0,O_0
191,275,A1,A2,A4,B1,0,0,train,O_3
192,276,A1,A2,A4,B2,0,0,0,O_0
193,277,A1,A2,A4,B3,0,0,0,O_0
194,278,A1,A2,A4,B4,0,0,0,O_0
195,279,A1,A2,A4,TY,0,0,0,O_0
196,280,A1,A2,A4,C1,0,0,transitivity,O_3
197,281,A1,A2,A4,C2,0,0,0,O_0
198,282,A1,A2,A4,C3,0,0,0,O_0
199,283,A1,A2,A4,C4,0,0,0,O_0
200,284,A1,A2,A4,TZ,0,0,0,O_0
201,285,A1,A2,TX,A1,0,0,reflexivity,O_3
202,286,A1,A2,TX,A2,0,0,0,O_0
203,287,A1,A2,TX,A3,0,0,0,O_0
204,288,A1,A2,TX,A4,0,0,0,O_0
205,289,A1,A2,TX,TX,0,0,0,O_0
206,290,A1,A2,TX,B1,0,0,train,O_3
207,291,A1,A2,TX,B2,0,0,0,O_0
208,292,A1,A2,TX,B3,0,0,0,O_0
209,293,A1,A2,TX,B4,0,0,0,O_0
210,294,A1,A2,TX,TY,0,0,0,O_0
211,295,A1,A2,TX,C1,0,0,transitivity,O_3
212,296,A1,A2,TX,C2,0,0,0,O_0
213,297,A1,A2,TX,C3,0,0,0,O_0
214,298,A1,A2,TX,C4,0,0,0,O_0
215,299,A1,A2,TX,TZ,0,0,0,O_0
216,301,A1,A2,B1,A2,0,train,0,O_2
217,302,A1,A2,B1,A3,0,train,0,O_2
218,303,A1,A2,B1,A4,0,train,0,O_2
219,304,A1,A2,B1,TX,0,train,0,O_2
220,306,A1,A2,B1,B2,0,train,0,O_2
221,307,A1,A2,B1,B3,0,train,0,O_2
222,308,A1,A2,B1,B4,0,train,0,O_2
223,309,A1,A2,B1,TY,0,train,0,O_2
224,311,A1,A2,B1,C2,0,train,0,O_2
225,312,A1,A2,B1,C3,0,train,0,O_2
226,313,A1,A2,B1,C4,0,train,0,O_2
227,314,A1,A2,B1,TZ,0,train,0,O_2
228,315,A1,A2,B2,A1,0,0,reflexivity,O_3
229,316,A1,A2,B2,A2,0,0,0,O_0
230,317,A1,A2,B2,A3,0,0,0,O_0
231,318,A1,A2,B2,A4,0,0,0,O_0
232,319,A1,A2,B2,TX,0,0,0,O_0
233,320,A1,A2,B2,B1,0,0,train,O_3
234,321,A1,A2,B2,B2,0,0,0,O_0
235,322,A1,A2,B2,B3,0,0,0,O_0
236,323,A1,A2,B2,B4,0,0,0,O_0
237,324,A1,A2,B2,TY,0,0,0,O_0
238,325,A1,A2,B2,C1,0,0,transitivity,O_3
239,326,A1,A2,B2,C2,0,0,0,O_0
240,327,A1,A2,B2,C3,0,0,0,O_0
241,328,A1,A2,B2,C4,0,0,0,O_0
242,329,A1,A2,B2,TZ,0,0,0,O_0
243,330,A1,A2,B3,A1,0,0,reflexivity,O_3
244,331,A1,A2,B3,A2,0,0,0,O_0
245,332,A1,A2,B3,A3,0,0,0,O_0
246,333,A1,A2,B3,A4,0,0,0,O_0
247,334,A1,A2,B3,TX,0,0,0,O_0
248,335,A1,A2,B3,B1,0,0,train,O_3
249,336,A1,A2,B3,B2,0,0,0,O_0
250,337,A1,A2,B3,B3,0,0,0,O_0
251,338,A1,A2,B3,B4,0,0,0,O_0
252,339,A1,A2,B3,TY,0,0,0,O_0
253,340,A1,A2,B3,C1,0,0,transitivity,O_3
254,341,A1,A2,B3,C2,0,0,0,O_0
255,342,A1,A2,B3,C3,0,0,0,O_0
256,343,A1,A2,B3,C4,0,0,0,O_0
257,344,A1,A2,B3,TZ,0,0,0,O_0
258,345,A1,A2,B4,A1,0,0,reflexivity,O_3
259,346,A1,A2,B4,A2,0,0,0,O_0
260,347,A1,A2,B4,A3,0,0,0,O_0
261,348,A1,A2,B4,A4,0,0,0,O_0
262,349,A1,A2,B4,TX,0,0,0,O_0
263,350,A1,A2,B4,B1,0,0,train,O_3
264,351,A1,A2,B4,B2,0,0,0,O_0
265,352,A1,A2,B4,B3,0,0,0,O_0
266,353,A1,A2,B4,B4,0,0,0,O_0
267,354,A1,A2,B4,TY,0,0,0,O_0
268,355,A1,A2,B4,C1,0,0,transitivity,O_3
269,356,A1,A2,B4,C2,0,0,0,O_0
270,357,A1,A2,B4,C3,0,0,0,O_0
271,358,A1,A2,B4,C4,0,0,0,O_0
272,359,A1,A2,B4,TZ,0,0,0,O_0
273,360,A1,A2,TY,A1,0,0,reflexivity,O_3
274,361,A1,A2,TY,A2,0,0,0,O_0
275,362,A1,A2,TY,A3,0,0,0,O_0
276,363,A1,A2,TY,A4,0,0,0,O_0
277,364,A1,A2,TY,TX,0,0,0,O_0
278,365,A1,A2,TY,B1,0,0,train,O_3
279,366,A1,A2,TY,B2,0,0,0,O_0
280,367,A1,A2,TY,B3,0,0,0,O_0
281,368,A1,A2,TY,B4,0,0,0,O_0
282,369,A1,A2,TY,TY,0,0,0,O_0
283,370,A1,A2,TY,C1,0,0,transitivity,O_3
284,371,A1,A2,TY,C2,0,0,0,O_0
285,372,A1,A2,TY,C3,0,0,0,O_0
286,373,A1,A2,TY,C4,0,0,0,O_0
287,374,A1,A2,TY,TZ,0,0,0,O_0
288,376,A1,A2,C1,A2,0,transitivity,0,O_2
289,377,A1,A2,C1,A3,0,transitivity,0,O_2
290,378,A1,A2,C1,A4,0,transitivity,0,O_2
291,379,A1,A2,C1,TX,0,transitivity,0,O_2
292,381,A1,A2,C1,B2,0,transitivity,0,O_2
293,382,A1,A2,C1,B3,0,transitivity,0,O_2
294,383,A1,A2,C1,B4,0,transitivity,0,O_2
295,384,A1,A2,C1,TY,0,transitivity,0,O_2
296,386,A1,A2,C1,C2,0,transitivity,0,O_2
297,387,A1,A2,C1,C3,0,transitivity,0,O_2
298,388,A1,A2,C1,C4,0,transitivity,0,O_2
299,389,A1,A2,C1,TZ,0,transitivity,0,O_2
300,390,A1,A2,C2,A1,0,0,reflexivity,O_3
301,391,A1,A2,C2,A2,0,0,0,O_0
302,392,A1,A2,C2,A3,0,0,0,O_0
303,393,A1,A2,C2,A4,0,0,0,O_0
304,394,A1,A2,C2,TX,0,0,0,O_0
305,395,A1,A2,C2,B1,0,0,train,O_3
306,396,A1,A2,C2,B2,0,0,0,O_0
307,397,A1,A2,C2,B3,0,0,0,O_0
308,398,A1,A2,C2,B4,0,0,0,O_0
309,399,A1,A2,C2,TY,0,0,0,O_0
310,400,A1,A2,C2,C1,0,0,transitivity,O_3
311,401,A1,A2,C2,C2,0,0,0,O_0
312,402,A1,A2,C2,C3,0,0,0,O_0
313,403,A1,A2,C2,C4,0,0,0,O_0
314,404,A1,A2,C2,TZ,0,0,0,O_0
315,405,A1,A2,C3,A1,0,0,reflexivity,O_3
316,406,A1,A2,C3,A2,0,0,0,O_0
317,407,A1,A2,C3,A3,0,0,0,O_0
318,408,A1,A2,C3,A4,0,0,0,O_0
319,409,A1,A2,C3,TX,0,0,0,O_0
320,410,A1,A2,C3,B1,0,0,train,O_3
321,411,A1,A2,C3,B2,0,0,0,O_0
322,412,A1,A2,C3,B3,0,0,0,O_0
323,413,A1,A2,C3,B4,0,0,0,O_0
324,414,A1,A2,C3,TY,0,0,0,O_0
325,415,A1,A2,C3,C1,0,0,transitivity,O_3
326,416,A1,A2,C3,C2,0,0,0,O_0
327,417,A1,A2,C3,C3,0,0,0,O_0
328,418,A1,A2,C3,C4,0,0,0,O_0
329,419,A1,A2,C3,TZ,0,0,0,O_0
330,420,A1,A2,C4,A1,0,0,reflexivity,O_3
331,421,A1,A2,C4,A2,0,0,0,O_0
332,422,A1,A2,C4,A3,0,0,0,O_0
333,423,A1,A2,C4,A4,0,0,0,O_0
334,424,A1,A2,C4,TX,0,0,0,O_0
335,425,A1,A2,C4,B1,0,0,train,O_3
336,426,A1,A2,C4,B2,0,0,0,O_0
337,427,A1,A2,C4,B3,0,0,0,O_0
338,428,A1,A2,C4,B4,0,0,0,O_0
339,429,A1,A2,C4,TY,0,0,0,O_0
340,430,A1,A2,C4,C1,0,0,transitivity,O_3
341,431,A1,A2,C4,C2,0,0,0,O_0
342,432,A1,A2,C4,C3,0,0,0,O_0
343,433,A1,A2,C4,C4,0,0,0,O_0
344,434,A1,A2,C4,TZ,0,0,0,O_0
345,435,A1,A2,TZ,A1,0,0,reflexivity,O_3
346,436,A1,A2,TZ,A2,0,0,0,O_0
347,437,A1,A2,TZ,A3,0,0,0,O_0
348,438,A1,A2,TZ,A4,0,0,0,O_0
349,439,A1,A2,TZ,TX,0,0,0,O_0
350,440,A1,A2,TZ,B1,0,0,train,O_3
351,441,A1,A2,TZ,B2,0,0,0,O_0
352,442,A1,A2,TZ,B3,0,0,0,O_0
353,443,A1,A2,TZ,B4,0,0,0,O_0
354,444,A1,A2,TZ,TY,0,0,0,O_0
355,445,A1,A2,TZ,C1,0,0,transitivity,O_3
356,446,A1,A2,TZ,C2,0,0,0,O_0
357,447,A1,A2,TZ,C3,0,0,0,O_0
358,448,A1,A2,TZ,C4,0,0,0,O_0
359,449,A1,A2,TZ,TZ,0,0,0,O_0
360,451,A1,A3,A1,A2,0,reflexivity,0,O_2
361,452,A1,A3,A1,A3,0,reflexivity,0,O_2
362,453,A1,A3,A1,A4,0,reflexivity,0,O_2
363,454,A1,A3,A1,TX,0,reflexivity,0,O_2
364,456,A1,A3,A1,B2,0,reflexivity,0,O_2
365,457,A1,A3,A1,B3,0,reflexivity,0,O_2
366,458,A1,A3,A1,B4,0,reflexivity,0,O_2
367,459,A1,A3,A1,TY,0,reflexivity,0,O_2
368,461,A1,A3,A1,C2,0,reflexivity,0,O_2
369,462,A1,A3,A1,C3,0,reflexivity,0,O_2
370,463,A1,A3,A1,C4,0,reflexivity,0,O_2
371,464,A1,A3,A1,TZ,0,reflexivity,0,O_2
372,465,A1,A3,A2,A1,0,0,reflexivity,O_3
373,466,A1,A3,A2,A2,0,0,0,O_0
374,467,A1,A3,A2,A3,0,0,0,O_0
375,468,A1,A3,A2,A4,0,0,0,O_0
376,469,A1,A3,A2,TX,0,0,0,O_0
377,470,A1,A3,A2,B1,0,0,train,O_3
378,471,A1,A3,A2,B2,0,0,0,O_0
379,472,A1,A3,A2,B3,0,0,0,O_0
380,473,A1,A3,A2,B4,0,0,0,O_0
381,474,A1,A3,A2,TY,0,0,0,O_0
382,475,A1,A3,A2,C1,0,0,transitivity,O_3
383,476,A1,A3,A2,C2,0,0,0,O_0
384,477,A1,A3,A2,C3,0,0,0,O_0
385,478,A1,A3,A2,C4,0,0,0,O_0
386,479,A1,A3,A2,TZ,0,0,0,O_0
387,480,A1,A3,A3,A1,0,0,reflexivity,O_3
388,481,A1,A3,A3,A2,0,0,0,O_0
389,482,A1,A3,A3,A3,0,0,0,O_0
390,483,A1,A3,A3,A4,0,0,0,O_0
391,484,A1,A3,A3,TX,0,0,0,O_0
392,485,A1,A3,A3,B1,0,0,train,O_3
393,486,A1,A3,A3,B2,0,0,0,O_0
394,487,A1,A3,A3,B3,0,0,0,O_0
395,488,A1,A3,A3,B4,0,0,0,O_0
396,489,A1,A3,A3,TY,0,0,0,O_0
397,490,A1,A3,A3,C1,0,0,transitivity,O_3
398,491,A1,A3,A3,C2,0,0,0,O_0
399,492,A1,A3,A3,C3,0,0,0,O_0
400,493,A1,A3,A3,C4,0,0,0,O_0
401,494,A1,A3,A3,TZ,0,0,0,O_0
402,495,A1,A3,A4,A1,0,0,reflexivity,O_3
403,496,A1,A3,A4,A2,0,0,0,O_0
404,497,A1,A3,A4,A3,0,0,0,O_0
405,498,A1,A3,A4,A4,0,0,0,O_0
406,499,A1,A3,A4,TX,0,0,0,O_0
407,500,A1,A3,A4,B1,0,0,train,O_3
408,501,A1,A3,A4,B2,0,0,0,O_0
409,502,A1,A3,A4,B3,0,0,0,O_0
410,503,A1,A3,A4,B4,0,0,0,O_0
411,504,A1,A3,A4,TY,0,0,0,O_0
412,505,A1,A3,A4,C1,0,0,transitivity,O_3
413,506,A1,A3,A4,C2,0,0,0,O_0
414,507,A1,A3,A4,C3,0,0,0,O_0
415,508,A1,A3,A4,C4,0,0,0,O_0
416,509,A1,A3,A4,TZ,0,0,0,O_0
417,510,A1,A3,TX,A1,0,0,reflexivity,O_3
418,511,A1,A3,TX,A2,0,0,0,O_0
419,512,A1,A3,TX,A3,0,0,0,O_0
420,513,A1,A3,TX,A4,0,0,0,O_0
421,514,A1,A3,TX,TX,0,0,0,O_0
422,515,A1,A3,TX,B1,0,0,train,O_3
423,516,A1,A3,TX,B2,0,0,0,O_0
424,517,A1,A3,TX,B3,0,0,0,O_0
425,518,A1,A3,TX,B4,0,0,0,O_0
426,519,A1,A3,TX,TY,0,0,0,O_0
427,520,A1,A3,TX,C1,0,0,transitivity,O_3
428,521,A1,A3,TX,C2,0,0,0,O_0
429,522,A1,A3,TX,C3,0,0,0,O_0
430,523,A1,A3,TX,C4,0,0,0,O_0
431,524,A1,A3,TX,TZ,0,0,0,O_0
432,526,A1,A3,B1,A2,0,train,0,O_2
433,527,A1,A3,B1,A3,0,train,0,O_2
434,528,A1,A3,B1,A4,0,train,0,O_2
435,529,A1,A3,B1,TX,0,train,0,O_2
436,531,A1,A3,B1,B2,0,train,0,O_2
437,532,A1,A3,B1,B3,0,train,0,O_2
438,533,A1,A3,B1,B4,0,train,0,O_2
439,534,A1,A3,B1,TY,0,train,0,O_2
440,536,A1,A3,B1,C2,0,train,0,O_2
441,537,A1,A3,B1,C3,0,train,0,O_2
442,538,A1,A3,B1,C4,0,train,0,O_2
443,539,A1,A3,B1,TZ,0,train,0,O_2
444,540,A1,A3,B2,A1,0,0,reflexivity,O_3
445,541,A1,A3,B2,A2,0,0,0,O_0
446,542,A1,A3,B2,A3,0,0,0,O_0
447,543,A1,A3,B2,A4,0,0,0,O_0
448,544,A1,A3,B2,TX,0,0,0,O_0
449,545,A1,A3,B2,B1,0,0,train,O_3
450,546,A1,A3,B2,B2,0,0,0,O_0
451,547,A1,A3,B2,B3,0,0,0,O_0
452,548,A1,A3,B2,B4,0,0,0,O_0
453,549,A1,A3,B2,TY,0,0,0,O_0
454,550,A1,A3,B2,C1,0,0,transitivity,O_3
455,551,A1,A3,B2,C2,0,0,0,O_0
456,552,A1,A3,B2,C3,0,0,0,O_0
457,553,A1,A3,B2,C4,0,0,0,O_0
458,554,A1,A3,B2,TZ,0,0,0,O_0
459,555,A1,A3,B3,A1,0,0,reflexivity,O_3
460,556,A1,A3,B3,A2,0,0,0,O_0
461,557,A1,A3,B3,A3,0,0,0,O_0
462,558,A1,A3,B3,A4,0,0,0,O_0
463,559,A1,A3,B3,TX,0,0,0,O_0
464,560,A1,A3,B3,B1,0,0,train,O_3
465,561,A1,A3,B3,B2,0,0,0,O_0
466,562,A1,A3,B3,B3,0,0,0,O_0
467,563,A1,A3,B3,B4,0,0,0,O_0
468,564,A1,A3,B3,TY,0,0,0,O_0
469,565,A1,A3,B3,C1,0,0,transitivity,O_3
470,566,A1,A3,B3,C2,0,0,0,O_0
471,567,A1,A3,B3,C3,0,0,0,O_0
472,568,A1,A3,B3,C4,0,0,0,O_0
473,569,A1,A3,B3,TZ,0,0,0,O_0
474,570,A1,A3,B4,A1,0,0,reflexivity,O_3
475,571,A1,A3,B4,A2,0,0,0,O_0
476,572,A1,A3,B4,A3,0,0,0,O_0
477,573,A1,A3,B4,A4,0,0,0,O_0
478,574,A1,A3,B4,TX,0,0,0,O_0
479,575,A1,A3,B4,B1,0,0,train,O_3
480,576,A1,A3,B4,B2,0,0,0,O_0
481,577,A1,A3,B4,B3,0,0,0,O_0
482,578,A1,A3,B4,B4,0,0,0,O_0
483,579,A1,A3,B4,TY,0,0,0,O_0
484,580,A1,A3,B4,C1,0,0,transitivity,O_3
485,581,A1,A3,B4,C2,0,0,0,O_0
486,582,A1,A3,B4,C3,0,0,0,O_0
487,583,A1,A3,B4,C4,0,0,0,O_0
488,584,A1,A3,B4,TZ,0,0,0,O_0
489,585,A1,A3,TY,A1,0,0,reflexivity,O_3
490,586,A1,A3,TY,A2,0,0,0,O_0
491,587,A1,A3,TY,A3,0,0,0,O_0
492,588,A1,A3,TY,A4,0,0,0,O_0
493,589,A1,A3,TY,TX,0,0,0,O_0
494,590,A1,A3,TY,B1,0,0,train,O_3
495,591,A1,A3,TY,B2,0,0,0,O_0
496,592,A1,A3,TY,B3,0,0,0,O_0
497,593,A1,A3,TY,B4,0,0,0,O_0
498,594,A1,A3,TY,TY,0,0,0,O_0
499,595,A1,A3,TY,C1,0,0,transitivity,O_3
500,596,A1,A3,TY,C2,0,0,0,O_0
