id_trial,st_sample,st_comp1,st_comp2,st_comp3,sample_c1_subset,sample_c2_subset,sample_c3_subset,option_answer
236,A1,A2,A1,C2,0,reflexivity,0,O_2
237,A1,A2,A1,C3,0,reflexivity,0,O_2
238,A1,A2,A1,C4,0,reflexivity,0,O_2
239,A1,A2,A1,TZ,0,reflexivity,0,O_2
240,A1,A2,A2,A1,0,0,reflexivity,O_3
241,A1,A2,A2,A2,0,0,0,O_0
242,A1,A2,A2,A3,0,0,0,O_0
243,A1,A2,A2,A4,0,0,0,O_0
244,A1,A2,A2,TX,0,0,0,O_0
245,A1,A2,A2,B1,0,0,train,O_3
246,A1,A2,A2,B2,0,0,0,O_0
247,A1,A2,A2,B3,0,0,0,O_0
248,A1,A2,A2,B4,0,0,0,O_0
249,A1,A2,A2,TY,0,0,0,O_0
250,A1,A2,A2,C1,0,0,transitivity,O_3
251,A1,A2,A2,C2,0,0,0,O_0
252,A1,A2,A2,C3,0,0,0,O_0
253,A1,A2,A2,C4,0,0,0,O_0
254,A1,A2,A2,TZ,0,0,0,O_0
255,A1,A2,A3,A1,0,0,reflexivity,O_3
256,A1,A2,A3,A2,0,0,0,O_0
257,A1,A2,A3,A3,0,0,0,O_0
258,A1,A2,A3,A4,0,0,0,O_0
259,A1,A2,A3,TX,0,0,0,O_0
260,A1,A2,A3,B1,0,0,train,O_3
261,A1,A2,A3,B2,0,0,0,O_0
262,A1,A2,A3,B3,0,0,0,O_0
263,A1,A2,A3,B4,0,0,0,O_0
264,A1,A2,A3,TY,0,0,0,O_0
265,A1,A2,A3,C1,0,0,transitivity,O_3
266,A1,A2,A3,C2,0,0,0,O_0
267,A1,A2,A3,C3,0,0,0,O_0
268,A1,A2,A3,C4,0,0,0,O_0
269,A1,A2,A3,TZ,0,0,0,O_0
270,A1,A2,A4,A1,0,0,reflexivity,O_3
271,A1,A2,A4,A2,0,0,0,O_0
272,A1,A2,A4,A3,0,0,0,O_0
273,A1,A2,A4,A4,0,0,0,O_0
274,A1,A2,A4,TX,0,0,0,O_0
275,A1,A2,A4,B1,0,0,train,O_3
276,A1,A2,A4,B2,0,0,0,O_0
277,A1,A2,A4,B3,0,0,0,O_0
278,A1,A2,A4,B4,0,0,0,O_0
279,A1,A2,A4,TY,0,0,0,O_0
280,A1,A2,A4,C1,0,0,transitivity,O_3
281,A1,A2,A4,C2,0,0,0,O_0
282,A1,A2,A4,C3,0,0,0,O_0
283,A1,A2,A4,C4,0,0,0,O_0
284,A1,A2,A4,TZ,0,0,0,O_0
285,A1,A2,TX,A1,0,0,reflexivity,O_3
286,A1,A2,TX,A2,0,0,0,O_0
287,A1,A2,TX,A3,0,0,0,O_0
288,A1,A2,TX,A4,0,0,0,O_0
289,A1,A2,TX,TX,0,0,0,O_0
290,A1,A2,TX,B1,0,0,train,O_3
291,A1,A2,TX,B2,0,0,0,O_0
292,A1,A2,TX,B3,0,0,0,O_0
293,A1,A2,TX,B4,0,0,0,O_0
294,A1,A2,TX,TY,0,0,0,O_0
295,A1,A2,TX,C1,0,0,transitivity,O_3
296,A1,A2,TX,C2,0,0,0,O_0
297,A1,A2,TX,C3,0,0,0,O_0
298,A1,A2,TX,C4,0,0,0,O_0
299,A1,A2,TX,TZ,0,0,0,O_0
301,A1,A2,B1,A2,0,train,0,O_2
302,A1,A2,B1,A3,0,train,0,O_2
303,A1,A2,B1,A4,0,train,0,O_2
304,A1,A2,B1,TX,0,train,0,O_2
306,A1,A2,B1,B2,0,train,0,O_2
307,A1,A2,B1,B3,0,train,0,O_2
308,A1,A2,B1,B4,0,train,0,O_2
309,A1,A2,B1,TY,0,train,0,O_2
311,A1,A2,B1,C2,0,train,0,O_2
312,A1,A2,B1,C3,0,train,0,O_2
313,A1,A2,B1,C4,0,train,0,O_2
314,A1,A2,B1,TZ,0,train,0,O_2
315,A1,A2,B2,A1,0,0,reflexivity,O_3
316,A1,A2,B2,A2,0,0,0,O_0
317,A1,A2,B2,A3,0,0,0,O_0
318,A1,A2,B2,A4,0,0,0,O_0
319,A1,A2,B2,TX,0,0,0,O_0
320,A1,A2,B2,B1,0,0,train,O_3
321,A1,A2,B2,B2,0,0,0,O_0
322,A1,A2,B2,B3,0,0,0,O_0
323,A1,A2,B2,B4,0,0,0,O_0
324,A1,A2,B2,TY,0,0,0,O_0
325,A1,A2,B2,C1,0,0,transitivity,O_3
326,A1,A2,B2,C2,0,0,0,O_0
327,A1,A2,B2,C3,0,0,0,O_0
328,A1,A2,B2,C4,0,0,0,O_0
329,A1,A2,B2,TZ,0,0,0,O_0
330,A1,A2,B3,A1,0,0,reflexivity,O_3
331,A1,A2,B3,A2,0,0,0,O_0
332,A1,A2,B3,A3,0,0,0,O_0
333,A1,A2,B3,A4,0,0,0,O_0
334,A1,A2,B3,TX,0,0,0,O_0
335,A1,A2,B3,B1,0,0,train,O_3
336,A1,A2,B3,B2,0,0,0,O_0
337,A1,A2,B3,B3,0,0,0,O_0
338,A1,A2,B3,B4,0,0,0,O_0
339,A1,A2,B3,TY,0,0,0,O_0
340,A1,A2,B3,C1,0,0,transitivity,O_3
341,A1,A2,B3,C2,0,0,0,O_0
342,A1,A2,B3,C3,0,0,0,O_0
343,A1,A2,B3,C4,0,0,0,O_0
344,A1,A2,B3,TZ,0,0,0,O_0
345,A1,A2,B4,A1,0,0,reflexivity,O_3
346,A1,A2,B4,A2,0,0,0,O_0
347,A1,A2,B4,A3,0,0,0,O_0
348,A1,A2,B4,A4,0,0,0,O_0
349,A1,A2,B4,TX,0,0,0,O_0
350,A1,A2,B4,B1,0,0,train,O_3
351,A1,A2,B4,B2,0,0,0,O_0
352,A1,A2,B4,B3,0,0,0,O_0
353,A1,A2,B4,B4,0,0,0,O_0
354,A1,A2,B4,TY,0,0,0,O_0
355,A1,A2,B4,C1,0,0,transitivity,O_3
356,A1,A2,B4,C2,0,0,0,O_0
357,A1,A2,B4,C3,0,0,0,O_0
358,A1,A2,B4,C4,0,0,0,O_0
359,A1,A2,B4,TZ,0,0,0,O_0
360,A1,A2,TY,A1,0,0,reflexivity,O_3
361,A1,A2,TY,A2,0,0,0,O_0
362,A1,A2,TY,A3,0,0,0,O_0
363,A1,A2,TY,A4,0,0,0,O_0
364,A1,A2,TY,TX,0,0,0,O_0
365,A1,A2,TY,B1,0,0,train,O_3
366,A1,A2,TY,B2,0,0,0,O_0
367,A1,A2,TY,B3,0,0,0,O_0
368,A1,A2,TY,B4,0,0,0,O_0
369,A1,A2,TY,TY,0,0,0,O_0
370,A1,A2,TY,C1,0,0,transitivity,O_3
371,A1,A2,TY,C2,0,0,0,O_0
372,A1,A2,TY,C3,0,0,0,O_0
373,A1,A2,TY,C4,0,0,0,O_0
374,A1,A2,TY,TZ,0,0,0,O_0
376,A1,A2,C1,A2,0,transitivity,0,O_2
377,A1,A2,C1,A3,0,transitivity,0,O_2
378,A1,A2,C1,A4,0,transitivity,0,O_2
379,A1,A2,C1,TX,0,transitivity,0,O_2
381,A1,A2,C1,B2,0,transitivity,0,O_2
382,A1,A2,C1,B3,0,transitivity,0,O_2
383,A1,A2,C1,B4,0,transitivity,0,O_2
384,A1,A2,C1,TY,0,transitivity,0,O_2
386,A1,A2,C1,C2,0,transitivity,0,O_2
387,A1,A2,C1,C3,0,transitivity,0,O_2
388,A1,A2,C1,C4,0,transitivity,0,O_2
389,A1,A2,C1,TZ,0,transitivity,0,O_2
390,A1,A2,C2,A1,0,0,reflexivity,O_3
391,A1,A2,C2,A2,0,0,0,O_0
392,A1,A2,C2,A3,0,0,0,O_0
393,A1,A2,C2,A4,0,0,0,O_0
394,A1,A2,C2,TX,0,0,0,O_0
395,A1,A2,C2,B1,0,0,train,O_3
396,A1,A2,C2,B2,0,0,0,O_0
397,A1,A2,C2,B3,0,0,0,O_0
398,A1,A2,C2,B4,0,0,0,O_0
399,A1,A2,C2,TY,0,0,0,O_0
400,A1,A2,C2,C1,0,0,transitivity,O_3
401,A1,A2,C2,C2,0,0,0,O_0
402,A1,A2,C2,C3,0,0,0,O_0
403,A1,A2,C2,C4,0,0,0,O_0
404,A1,A2,C2,TZ,0,0,0,O_0
405,A1,A2,C3,A1,0,0,reflexivity,O_3
406,A1,A2,C3,A2,0,0,0,O_0
407,A1,A2,C3,A3,0,0,0,O_0
408,A1,A2,C3,A4,0,0,0,O_0
409,A1,A2,C3,TX,0,0,0,O_0
410,A1,A2,C3,B1,0,0,train,O_3
411,A1,A2,C3,B2,0,0,0,O_0
412,A1,A2,C3,B3,0,0,0,O_0
413,A1,A2,C3,B4,0,0,0,O_0
414,A1,A2,C3,TY,0,0,0,O_0
415,A1,A2,C3,C1,0,0,transitivity,O_3
416,A1,A2,C3,C2,0,0,0,O_0
417,A1,A2,C3,C3,0,0,0,O_0
418,A1,A2,C3,C4,0,0,0,O_0
419,A1,A2,C3,TZ,0,0,0,O_0
420,A1,A2,C4,A1,0,0,reflexivity,O_3
421,A1,A2,C4,A2,0,0,0,O_0
422,A1,A2,C4,A3,0,0,0,O_0
423,A1,A2,C4,A4,0,0,0,O_0
424,A1,A2,C4,TX,0,0,0,O_0
425,A1,A2,C4,B1,0,0,train,O_3
426,A1,A2,C4,B2,0,0,0,O_0
427,A1,A2,C4,B3,0,0,0,O_0
428,A1,A2,C4,B4,0,0,0,O_0
429,A1,A2,C4,TY,0,0,0,O_0
430,A1,A2,C4,C1,0,0,transitivity,O_3
431,A1,A2,C4,C2,0,0,0,O_0
432,A1,A2,C4,C3,0,0,0,O_0
433,A1,A2,C4,C4,0,0,0,O_0
434,A1,A2,C4,TZ,0,0,0,O_0
435,A1,A2,TZ,A1,0,0,reflexivity,O_3
436,A1,A2,TZ,A2,0,0,0,O_0
437,A1,A2,TZ,A3,0,0,0,O_0
438,A1,A2,TZ,A4,0,0,0,O_0
439,A1,A2,TZ,TX,0,0,0,O_0
440,A1,A2,TZ,B1,0,0,train,O_3
441,A1,A2,TZ,B2,0,0,0,O_0
442,A1,A2,TZ,B3,0,0,0,O_0
443,A1,A2,TZ,B4,0,0,0,O_0
444,A1,A2,TZ,TY,0,0,0,O_0
445,A1,A2,TZ,C1,0,0,transitivity,O_3
446,A1,A2,TZ,C2,0,0,0,O_0
447,A1,A2,TZ,C3,0,0,0,O_0
448,A1,A2,TZ,C4,0,0,0,O_0
449,A1,A2,TZ,TZ,0,0,0,O_0
451,A1,A3,A1,A2,0,reflexivity,0,O_2
452,A1,A3,A1,A3,0,reflexivity,0,O_2
453,A1,A3,A1,A4,0,reflexivity,0,O_2
454,A1,A3,A1,TX,0,reflexivity,0,O_2
456,A1,A3,A1,B2,0,reflexivity,0,O_2
457,A1,A3,A1,B3,0,reflexivity,0,O_2
458,A1,A3,A1,B4,0,reflexivity,0,O_2
459,A1,A3,A1,TY,0,reflexivity,0,O_2
461,A1,A3,A1,C2,0,reflexivity,0,O_2
462,A1,A3,A1,C3,0,reflexivity,0,O_2
463,A1,A3,A1,C4,0,reflexivity,0,O_2
464,A1,A3,A1,TZ,0,reflexivity,0,O_2
465,A1,A3,A2,A1,0,0,reflexivity,O_3
466,A1,A3,A2,A2,0,0,0,O_0
467,A1,A3,A2,A3,0,0,0,O_0
468,A1,A3,A2,A4,0,0,0,O_0
469,A1,A3,A2,TX,0,0,0,O_0
470,A1,A3,A2,B1,0,0,train,O_3
471,A1,A3,A2,B2,0,0,0,O_0
472,A1,A3,A2,B3,0,0,0,O_0
473,A1,A3,A2,B4,0,0,0,O_0
474,A1,A3,A2,TY,0,0,0,O_0
475,A1,A3,A2,C1,0,0,transitivity,O_3
476,A1,A3,A2,C2,0,0,0,O_0
477,A1,A3,A2,C3,0,0,0,O_0
478,A1,A3,A2,C4,0,0,0,O_0
479,A1,A3,A2,TZ,0,0,0,O_0
480,A1,A3,A3,A1,0,0,reflexivity,O_3
481,A1,A3,A3,A2,0,0,0,O_0
482,A1,A3,A3,A3,0,0,0,O_0
483,A1,A3,A3,A4,0,0,0,O_0
484,A1,A3,A3,TX,0,0,0,O_0
485,A1,A3,A3,B1,0,0,train,O_3
486,A1,A3,A3,B2,0,0,0,O_0
487,A1,A3,A3,B3,0,0,0,O_0
488,A1,A3,A3,B4,0,0,0,O_0
489,A1,A3,A3,TY,0,0,0,O_0
490,A1,A3,A3,C1,0,0,transitivity,O_3
491,A1,A3,A3,C2,0,0,0,O_0
492,A1,A3,A3,C3,0,0,0,O_0
493,A1,A3,A3,C4,0,0,0,O_0
494,A1,A3,A3,TZ,0,0,0,O_0
495,A1,A3,A4,A1,0,0,reflexivity,O_3
496,A1,A3,A4,A2,0,0,0,O_0
497,A1,A3,A4,A3,0,0,0,O_0
498,A1,A3,A4,A4,0,0,0,O_0
499,A1,A3,A4,TX,0,0,0,O_0
500,A1,A3,A4,B1,0,0,train,O_3
501,A1,A3,A4,B2,0,0,0,O_0
502,A1,A3,A4,B3,0,0,0,O_0
503,A1,A3,A4,B4,0,0,0,O_0
504,A1,A3,A4,TY,0,0,0,O_0
505,A1,A3,A4,C1,0,0,transitivity,O_3
506,A1,A3,A4,C2,0,0,0,O_0
507,A1,A3,A4,C3,0,0,0,O_0
508,A1,A3,A4,C4,0,0,0,O_0
509,A1,A3,A4,TZ,0,0,0,O_0
510,A1,A3,TX,A1,0,0,reflexivity,O_3
511,A1,A3,TX,A2,0,0,0,O_0
512,A1,A3,TX,A3,0,0,0,O_0
513,A1,A3,TX,A4,0,0,0,O_0
514,A1,A3,TX,TX,0,0,0,O_0
515,A1,A3,TX,B1,0,0,train,O_3
516,A1,A3,TX,B2,0,0,0,O_0
517,A1,A3,TX,B3,0,0,0,O_0
518,A1,A3,TX,B4,0,0,0,O_0
519,A1,A3,TX,TY,0,0,0,O_0
520,A1,A3,TX,C1,0,0,transitivity,O_3
521,A1,A3,TX,C2,0,0,0,O_0
522,A1,A3,TX,C3,0,0,0,O_0
523,A1,A3,TX,C4,0,0,0,O_0
524,A1,A3,TX,TZ,0,0,0,O_0
526,A1,A3,B1,A2,0,train,0,O_2
527,A1,A3,B1,A3,0,train,0,O_2
528,A1,A3,B1,A4,0,train,0,O_2
529,A1,A3,B1,TX,0,train,0,O_2
531,A1,A3,B1,B2,0,train,0,O_2
532,A1,A3,B1,B3,0,train,0,O_2
533,A1,A3,B1,B4,0,train,0,O_2
534,A1,A3,B1,TY,0,train,0,O_2
536,A1,A3,B1,C2,0,train,0,O_2
537,A1,A3,B1,C3,0,train,0,O_2
538,A1,A3,B1,C4,0,train,0,O_2
539,A1,A3,B1,TZ,0,train,0,O_2
540,A1,A3,B2,A1,0,0,reflexivity,O_3
541,A1,A3,B2,A2,0,0,0,O_0
542,A1,A3,B2,A3,0,0,0,O_0
543,A1,A3,B2,A4,0,0,0,O_0
544,A1,A3,B2,TX,0,0,0,O_0
545,A1,A3,B2,B1,0,0,train,O_3
546,A1,A3,B2,B2,0,0,0,O_0
547,A1,A3,B2,B3,0,0,0,O_0
548,A1,A3,B2,B4,0,0,0,O_0
549,A1,A3,B2,TY,0,0,0,O_0
550,A1,A3,B2,C1,0,0,transitivity,O_3
551,A1,A3,B2,C2,0,0,0,O_0
552,A1,A3,B2,C3,0,0,0,O_0
553,A1,A3,B2,C4,0,0,0,O_0
554,A1,A3,B2,TZ,0,0,0,O_0
555,A1,A3,B3,A1,0,0,reflexivity,O_3
556,A1,A3,B3,A2,0,0,0,O_0
557,A1,A3,B3,A3,0,0,0,O_0
558,A1,A3,B3,A4,0,0,0,O_0
559,A1,A3,B3,TX,0,0,0,O_0
560,A1,A3,B3,B1,0,0,train,O_3
561,A1,A3,B3,B2,0,0,0,O_0
562,A1,A3,B3,B3,0,0,0,O_0
563,A1,A3,B3,B4,0,0,0,O_0
564,A1,A3,B3,TY,0,0,0,O_0
565,A1,A3,B3,C1,0,0,transitivity,O_3
566,A1,A3,B3,C2,0,0,0,O_0
567,A1,A3,B3,C3,0,0,0,O_0
568,A1,A3,B3,C4,0,0,0,O_0
569,A1,A3,B3,TZ,0,0,0,O_0
570,A1,A3,B4,A1,0,0,reflexivity,O_3
571,A1,A3,B4,A2,0,0,0,O_0
572,A1,A3,B4,A3,0,0,0,O_0
573,A1,A3,B4,A4,0,0,0,O_0
574,A1,A3,B4,TX,0,0,0,O_0
575,A1,A3,B4,B1,0,0,train,O_3
576,A1,A3,B4,B2,0,0,0,O_0
577,A1,A3,B4,B3,0,0,0,O_0
578,A1,A3,B4,B4,0,0,0,O_0
579,A1,A3,B4,TY,0,0,0,O_0
580,A1,A3,B4,C1,0,0,transitivity,O_3
581,A1,A3,B4,C2,0,0,0,O_0
582,A1,A3,B4,C3,0,0,0,O_0
583,A1,A3,B4,C4,0,0,0,O_0
584,A1,A3,B4,TZ,0,0,0,O_0
585,A1,A3,TY,A1,0,0,reflexivity,O_3
586,A1,A3,TY,A2,0,0,0,O_0
587,A1,A3,TY,A3,0,0,0,O_0
588,A1,A3,TY,A4,0,0,0,O_0
589,A1,A3,TY,TX,0,0,0,O_0
590,A1,A3,TY,B1,0,0,train,O_3
591,A1,A3,TY,B2,0,0,0,O_0
592,A1,A3,TY,B3,0,0,0,O_0
593,A1,A3,TY,B4,0,0,0,O_0
594,A1,A3,TY,TY,0,0,0,O_0
595,A1,A3,TY,C1,0,0,transitivity,O_3
596,A1,A3,TY,C2,0,0,0,O_0
597,A1,A3,TY,C3,0,0,0,O_0
598,A1,A3,TY,C4,0,0,0,O_0
599,A1,A3,TY,TZ,0,0,0,O_0
601,A1,A3,C1,A2,0,transitivity,0,O_2
602,A1,A3,C1,A3,0,transitivity,0,O_2
603,A1,A3,C1,A4,0,transitivity,0,O_2
604,A1,A3,C1,TX,0,transitivity,0,O_2
606,A1,A3,C1,B2,0,transitivity,0,O_2
607,A1,A3,C1,B3,0,transitivity,0,O_2
608,A1,A3,C1,B4,0,transitivity,0,O_2
609,A1,A3,C1,TY,0,transitivity,0,O_2
611,A1,A3,C1,C2,0,transitivity,0,O_2
612,A1,A3,C1,C3,0,transitivity,0,O_2
613,A1,A3,C1,C4,0,transitivity,0,O_2
614,A1,A3,C1,TZ,0,transitivity,0,O_2
615,A1,A3,C2,A1,0,0,reflexivity,O_3
616,A1,A3,C2,A2,0,0,0,O_0
617,A1,A3,C2,A3,0,0,0,O_0
618,A1,A3,C2,A4,0,0,0,O_0
619,A1,A3,C2,TX,0,0,0,O_0
620,A1,A3,C2,B1,0,0,train,O_3
621,A1,A3,C2,B2,0,0,0,O_0
622,A1,A3,C2,B3,0,0,0,O_0
623,A1,A3,C2,B4,0,0,0,O_0
624,A1,A3,C2,TY,0,0,0,O_0
625,A1,A3,C2,C1,0,0,transitivity,O_3
626,A1,A3,C2,C2,0,0,0,O_0
627,A1,A3,C2,C3,0,0,0,O_0
628,A1,A3,C2,C4,0,0,0,O_0
629,A1,A3,C2,TZ,0,0,0,O_0
630,A1,A3,C3,A1,0,0,reflexivity,O_3
631,A1,A3,C3,A2,0,0,0,O_0
632,A1,A3,C3,A3,0,0,0,O_0
633,A1,A3,C3,A4,0,0,0,O_0
634,A1,A3,C3,TX,0,0,0,O_0
635,A1,A3,C3,B1,0,0,train,O_3
636,A1,A3,C3,B2,0,0,0,O_0
